IPC-Section,Description,Offense,,,
87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,"Nathan, with consent, participates in a physical training session where he unintentionally causes minor injuries to a training partner, as the act was not intended and not known to be likely to cause severe harm.",,,
87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,"While engaging in a recreational activity, James, with consent, accidentally inflicts minor injuries on a friend, as the act was neither intended nor known to be likely to cause death or grievous hurt.",,,
87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,"Consider a scenario where two individuals engage in a contact sport, such as boxing, and agree to participate in a match. Despite the physical nature of the activity, the blows exchanged are not intended to cause death or grievous hurt. Both participants consent to the sport, understanding the risks involved, and any resulting injuries are considered within the scope of their agreed-upon activ",,,
87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,"Sarah and Mark, engage in a friendly game of paintball. Sarah consents to the game, understanding the risks. In the heat of the moment, Mark accidentally fires a paintball from close range, causing a minor injury to Sarah.",,,
88,Act not intended to cause death done by consent in good faith for person's benefit,"David, with consent and in good faith, performs a medical procedure not intended to cause death but for the person's benefit, aiming to improve their overall health.",,,
88,Act not intended to cause death done by consent in good faith for person's benefit,"In a therapeutic setting, Sophie administers a treatment with the person's consent and in good faith, not intending to cause death but aiming to provide a beneficial outcome for their well-being.",,,
88,Act not intended to cause death done by consent in good faith for person's benefit,"In a rehabilitation session, Emma, with the person's consent and in good faith, undertakes an action not meant to cause death but intended for the individual's benefit and recovery",,,
88,Act not intended to cause death done by consent in good faith for person's benefit,"Anna, a passerby, finds Mark unconscious on the sidewalk. Thinking quickly, she decides to perform CPR in an attempt to revive him. Despite Anna's good intentions, Mark unfortunately does not recover. Anna's act, not intended to cause death but done in good faith for Mark's benefit, aligns with legal principles exempting such actions from liability.",,,
88,Act not intended to cause death done by consent in good faith for person's benefit,"
An example of an act not intended to cause death, done by consent in good faith for a person's benefit, could be a medical surgery. When a person consents to a surgical procedure for their well-being, the surgeon may perform actions that, while not intended to cause death, are necessary for the person's health improvement. The consent and good faith involved distinguish it from an unlawful act.",,,
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Mark, as the legal guardian, consents to a necessary medical procedure for the benefit of his child, performed in good faith to improve the child's health.",,,
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Sophie, acting as the guardian of an insane person, consents to a therapeutic intervention performed in good faith, seeking to enhance the well-being of the individual.",,,
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Nathan, acting as the guardian, approves a necessary and beneficial surgical procedure for his child, done in good faith to improve the child's health and well-being.",,,
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Sarah, a caregiver, notices a child, Emily, choking on a small object. Recognizing the immediate danger, Sarah performs the Heimlich maneuver to dislodge the object and save Emily. Sarah's action, done in good faith for the benefit of the child and with the consent of her guardian, aligns with legal principles that exempt such acts from liability, even if unintended consequences occur.",,,
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","A doctor, with the consent of a parent or guardian, administers a necessary and beneficial medical treatment to a child suffering from a serious illness. The act is done in good faith for the benefit of the child's health and well-being, and with the consent of the responsible guardian, aligning with the legal provision specified.",,,
90,Consent known to be given under fear or misconception," David, under the fear of losing his job, reluctantly gives consent to a business decision, the consent being known to be given under the influence of fear.",,,
90,Consent known to be given under fear or misconception," Emma, under the misconception of imminent danger, hastily consents to a medical procedure, the consent known to be given under the influence of a false belief.",,,
90,Consent known to be given under fear or misconception,"James, fearing social isolation, reluctantly agrees to participate in an event, the consent known to be given under the influence of fear and not genuine willingness.",,,
90,Consent known to be given under fear or misconception,"Emma, a recent graduate desperate for employment, applies for a job at a small company. The employer, Mark, takes advantage of Emma's eagerness and uses coercion to secure her consent to an unfavorable employment contract.",,,
90,Consent known to be given under fear or misconception,"Suppose Sarah, under the fear of losing her job, consents to a coworker's romantic advances believing it would secure her employment. The consent is given under the influence of fear and misconception, as the coworker has led her to believe that her job security depends on the romantic relationship.",,,
91,Exclusion of acts which are offences independently of harm caused,"Aarav, without causing harm, engages in peaceful protests which, although creating disruption, are not offenses independently of the harm caused.",,,
91,Exclusion of acts which are offences independently of harm caused,"Ishaan, while expressing dissent through writings, does not commit an offense independently of the harm caused, as his actions fall within the realm of free speech and expression.",,,
91,Exclusion of acts which are offences independently of harm caused," Aisha, organizing a peaceful assembly to address grievances, commits no offense independently of harm caused, as the gathering is within the legal boundaries.",,,
91,Exclusion of acts which are offences independently of harm caused,"John and Sarah, two acquaintances facing financial difficulties, conspire to commit theft from a local electronics store. Their plan is to steal high-value electronic devices and sell them to alleviate their financial troubles.",,,
91,Exclusion of acts which are offences independently of harm caused,"Consider a situation where Mark unlawfully enters a restricted government facility, violating security protocols. Even if Mark causes no harm or damage during the entry, the act of trespassing itself is an offense independently of any harm caused. The exclusion mentioned refers to cases where an act is considered an offense regardless of whether harm is inflicted.",,,
92,Act done in good faith for benefit of a person without consent,"Anika, a medical professional, administers emergency treatment to an unconscious person without their consent, acting in good faith for the benefit of the individual's health.",,,
92,Act done in good faith for benefit of a person without consent,"Rohan, a first responder, performs life-saving procedures on an accident victim without their consent, acting in good faith to ensure the person's well-being.",,,
92,Act done in good faith for benefit of a person without consent,"Sneha, a caregiver, makes a critical decision on behalf of an incapacitated person's medical care without their consent, acting in good faith for the individual's benefit.",,,
92,Act done in good faith for benefit of a person without consent,"Jane, a trained medical professional, comes across a severely injured person, Mark, who has been involved in a car accident. Mark is unconscious, and there are no immediate bystanders around. In good faith and believing it is in Mark's best interest, Jane administers emergency medical treatment without obtaining explicit consent.",,,
92,Act done in good faith for benefit of a person without consent,"An emergency medical professional, witnessing a person collapse in a public place and unable to obtain explicit consent, performs life-saving CPR in good faith for the benefit of the unconscious individual. Despite the lack of consent, the action is done with the sincere belief that it is in the person's best interest and is exempt from legal consequences under certain circumstances.",,,
93,Communication made in good faith,"Amit, a concerned friend, shares information about a potential health risk with another friend in good faith, aiming to ensure their well-being and safety.",,,
93,Communication made in good faith,"Radhika, a colleague, communicates honest feedback to her team member in good faith, intending to contribute to their professional growth and development.",,,
93,Communication made in good faith,"Raj, a family member, provides constructive advice to his sibling in good faith, expressing genuine concern for their personal and academic success.",,,
93,Communication made in good faith,"Sarah, a teacher at a local elementary school, becomes concerned about the well-being of one of her students, Jake. Over the course of several weeks, she observes changes in Jake's behavior and physical appearance that raise suspicions of possible child abuse at home. In good faith, Sarah decides to report her concerns to the appropriate child protection authorities.",,,
93,Communication made in good faith,"A person, genuinely concerned for a friend's well-being, communicates their worries about the friend's health to a healthcare professional. The communication is made in good faith, without any malicious intent or false information, with the sincere aim of seeking help for the friend's benefit.",,,
94,Act to which a person is compelled by threats,"Neha, under threat of harm to her family, is compelled to share confidential information at her workplace against her will.",,,
94,Act to which a person is compelled by threats," Rajat, facing threats of physical harm, is compelled to participate in an unauthorized activity that goes against his principles and values.",,,
94,Act to which a person is compelled by threats,"Kavita, threatened with the release of sensitive personal information, is compelled to carry out actions contrary to her wishes and beliefs.",,,
94,Act to which a person is compelled by threats,"In the close-knit community of Harmony Haven, a troubling situation unfolded when an individual, Sarah, found herself compelled to engage in an undesirable act due to threats made by a coercive party named Alex. Fearing harm and coercion, Sarah reluctantly complied with the demands under duress. The matter was reported to local authorities, who recognized the gravity of the situation and intervened promptly. In subsequent legal proceedings, the court acknowledged the circumstances of the act being compelled by threats and aimed to address the coercion while emphasizing Harmony Haven's commitment to ensuring the safety and well-being of its residents by discouraging and penalizing such coercive behaviors.",,,
94,Act to which a person is compelled by threats,"John, under threat of physical harm to himself and his family, is compelled to transfer money from his bank account to the perpetrator's account. The act of transferring money is done solely due to the threats made against John and his family, illustrating a situation where a person is compelled to act under duress.",,,
95,Act causing slight harm," Rahul accidentally bumps into a colleague, causing a slight bruise, during a crowded office event.",,,
95,Act causing slight harm,"Shreya, while playing a sport, inadvertently causes a minor injury to a friend by colliding during the game.",,,
95,Act causing slight harm," Vivek, in a rush, unintentionally steps on someone's foot, causing slight discomfort during a busy market day.",,,
95,Act causing slight harm,"In the peaceful town of Serenityville, a minor incident occurred when two neighbors, Alex and Jamie, were involved in a brief altercation that resulted in slight harm. The situation was promptly reported to local authorities, who intervened to assess the circumstances. Recognizing the relatively minor nature of the incident, the legal proceedings aimed at resolving the matter amicably. The town emphasized its commitment to maintaining a tranquil environment and encouraging peaceful resolutions in cases involving minor harm, ensuring that community members coexist harmoniously.",,,
95,Act causing slight harm,"Sarah accidentally bumps into Mark while rushing through a crowded space, causing him to spill a bit of his coffee. The act, though unintentional, results in slight harm to Mark's clothing and a minor inconvenience.
",,,
96,Things done in private defence," Amit, faced with an imminent physical threat, uses necessary force to protect himself from an aggressive assailant in a dark alley.",,,
96,Things done in private defence,"Priya, encountering an intruder in her home, acts in self-defense by using reasonable force to prevent potential harm to herself and her family.",,,
96,Things done in private defence,"Neha, facing an attempted robbery, exercises her right to private defense by using necessary force to protect her belongings and personal safety.",,,
96,Things done in private defence,"In the suburban community of Greenwood Hills, Emily found herself in a perilous situation during a late-night encounter with a potential assailant. Fearing for her safety, Emily took actions in self-defense, later revealed to be in response to an imminent threat. Recognizing the circumstances, local authorities concluded that Emily's actions were done in private defense. The legal proceedings acknowledged the right of individuals to protect themselves from harm, emphasizing Greenwood Hills' commitment to ensuring the safety and well-being of its residents within the bounds of the law.",,,
96,Things done in private defence,"Consider a situation where Tom is walking alone at night, and an unknown person suddenly approaches him aggressively. In self-defense, Tom raises his hands to ward off the potential attacker, signaling his readiness to protect himself if necessary. These defensive actions fall within the scope of private defense, as Tom is responding to a perceived threat to his safety.
",,,
97,Right of private defence of the body and of property," Kiran, fearing an imminent physical assault, exercises the right of private defense to protect himself by using necessary force against an aggressor.",,,
97,Right of private defence of the body and of property,"Smita, facing a break-in at her home, invokes the right of private defense to safeguard her property, using reasonable force to repel the intruder.",,,
97,Right of private defence of the body and of property,"Rajat, confronted by a group attempting to vandalize his car, employs the right of private defense to prevent damage to his property by using necessary force.",,,
97,Right of private defence of the body and of property,"Alex, a shopkeeper, notices a person attempting to steal merchandise from his store. Recognizing the threat to his property, Alex approaches the individual and requests them to stop. However, the person becomes aggressive and tries to physically harm Alex. In response to the imminent danger, Alex uses necessary force to defend himself and prevent the theft, invoking his right of private defense of both his body and property under IPC 97.",,,
97,Right of private defence of the body and of property,"Imagine Kate, walking in a secluded area, encounters an individual who attempts to physically assault her. In exercising her right of private defense of the body, Kate uses reasonable force to protect herself, deterring the assailant and ensuring her safety. This example illustrates the right of private defense concerning personal safety.",,,
98,"Right of private defence against the act of a person of unsound mind, etc.","Anita, facing an aggressive person of unsound mind attempting to cause harm, exercises the right of private defense to protect herself by using necessary force.",,,
98,"Right of private defence against the act of a person of unsound mind, etc.","Vikrant, encountering an individual with a history of violent behavior due to mental illness, asserts the right of private defense to prevent potential harm by using reasonable force.",,,
98,"Right of private defence against the act of a person of unsound mind, etc.","Swati, in a situation where a person of unsound mind poses a threat, invokes the right of private defense to safeguard her well-being by using necessary force against the aggressor.",,,
98,"Right of private defence against the act of a person of unsound mind, etc.","John, a teacher at a special needs school, observes one of the students, Mark, exhibiting aggressive behavior due to his unsound mental state. Mark suddenly becomes physically violent, posing a threat to other students in the classroom. In order to protect the other students and himself, John uses reasonable force to restrain Mark until additional help arrives.",,,
98,"Right of private defence against the act of a person of unsound mind, etc.","Consider a scenario where Mary, who is known to have occasional violent episodes due to a mental health condition, starts behaving aggressively and poses a threat to those around her. In response to her immediate threat, Tom, who is present at the scene, uses reasonable force to restrain Mary until professional help arrives. Here, Tom is exercising the right of private defense against the act of a person with an unsound mind to protect himself and others from potential harm.
",,,
99,Acts against which there is no right of private defence,"Aditya, witnessing a verbal insult, cannot claim the right of private defense as mere offensive language does not warrant physical retaliation.",,,
99,Acts against which there is no right of private defence,"Priya, facing property damage caused by negligence, does not have the right of private defense as the act is not intentional aggression that justifies physical force.",,,
99,Acts against which there is no right of private defence,"Anjali, encountering a harmless prank, cannot assert the right of private defense as the act is playful and does not pose a genuine threat.",,,
99,Acts against which there is no right of private defence,"Engaging in actions where there is no right of private defense, an individual intentionally trespassed onto a neighbor's property to retrieve a misplaced item. The neighbor, though alarmed by the intrusion, refrained from any form of retaliation, understanding that the act did not pose an imminent threat to life or property. In such situations where the right of private defense is not applicable, the aggrieved party chose to address the issue through legal channels rather than resorting to self-defense measures.",,,
99,Acts against which there is no right of private defence,"In a dispute over a minor property boundary issue, one party resorted to verbal abuse and harassment. The targeted individual, recognizing the absence of an imminent threat to physical well-being or property, refrained from retaliatory actions. In this scenario where the situation did not warrant the right of private defense, the affected party opted to address the matter through legal means rather than resorting to any form of counter-aggression.",,,
100,When the right of private defence of the body extends to causing death,"Neha, encountering a violent home invasion where her life is in imminent danger, asserts the right of private defense, using necessary force, including causing death, to safeguard her well-being.",,,
100,When the right of private defence of the body extends to causing death,"Kavita, facing a life-threatening assault, exercises the right of private defense, using necessary force, including causing death, to defend herself from an imminent danger.",,,
100,When the right of private defence of the body extends to causing death,"Vikram, confronting a deadly attack with potential fatal consequences, asserts the right of private defense, using necessary force, including causing death, to ensure his survival in a life-threatening situation.",,,
100,When the right of private defence of the body extends to causing death,"Tom, in a fit of rage, engages in a physical altercation with his neighbor, Alex. During the fight, Tom forcefully shoves Alex, causing him to fall and hit his head on a hard surface. Alex sustains severe injuries and later succumbs to the head trauma. In this scenario, Tom's act of forcefully shoving Alex, resulting in fatal injuries, may amount to culpable homicide, as it involves the intentional use of force leading to unintended but foreseeable lethal consequences.",,,
100,When the right of private defence of the body extends to causing death,"Sarah, walking alone at night, is suddenly confronted by an armed assailant who threatens her life. In a desperate act of self-defense, Sarah manages to gain control of the assailant's weapon and, fearing for her own life, uses it to neutralize the imminent threat, causing the assailant's death.",,,
101,the right of private defence of the body does not extend to the voluntary causing of death to the assailant,"as Mary returned home, she encountered a masked intruder attempting to break into her house. In a state of panic, Mary wielded a baseball bat to fend off the intruder, inflicting non-lethal injuries in an attempt to protect herself. ",,,
101,the right of private defence of the body does not extend to the voluntary causing of death to the assailant,"During a physical altercation in a bar, Jake found himself cornered by an aggressive assailant who brandished a knife. In a desperate bid to protect himself, Jake expertly disarmed the attacker and used the minimal force necessary to incapacitate him.",,,
101,the right of private defence of the body does not extend to the voluntary causing of death to the assailant,"When Dax faced an imminent physical assault, he skillfully incapacitated his attacker without resorting to lethal force, ",,,
101,the right of private defence of the body does not extend to the voluntary causing of death to the assailant,"In a tense confrontation, Dax, exercising the right of private defense, judiciously used force to repel an assailant without resorting to actions that would cause voluntary harm or death,",,,
101,the right of private defence of the body does not extend to the voluntary causing of death to the assailant,"Faced with a life-threatening situation, Arjun expertly employed defensive tactics to disarm an attacker without causing fatal harm",,,
102,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues,"Ramesh, upon noticing an unknown person attempting to forcefully enter his home late at night, instinctively grabbed a sturdy object to protect himself",,,
102,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues,"Suresh found himself surrounded by a group of aggressive individuals in a dimly lit alley, prompting him to raise his voice and display a defensive stance to ward off the potential threat, invoking his right of private defense.",,,
102,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues,"Suresh, confronted by a group of individuals attempting to forcibly enter his home, took measured steps to repel the intrusion, utilizing the right of private defense ",,,
102,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues,"Kiran, while walking through a dimly lit alley, sensed an individual following closely with dubious intentions. In response, Kiran took precautions",,,
102,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues,"Devang, faced with persistent threats and harassment from a known aggressor, finally stood his ground and used necessary force to deter further harm",,,
103," the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:
                Robbery;
                House-breaking by night;
                Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;
                Theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised.","Tom, a homeowner, catches a burglar attempting to break into his residence late at night. Tom, in a bid to protect himself and his property, issues warnings to the intruder. Despite the warnings, the intruder brandishes a weapon, leaving Tom with no choice but to use a firearm in self-defense. The incident tragically results in the intruder's death, highlighting the extreme circumstances under which the right of private defense of property extends to causing death",,,
103," the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:
                Robbery;
                House-breaking by night;
                Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;
                Theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised.","Consider a situation where Sarah, a homeowner, hears loud noises in the middle of the night. Upon investigation, she discovers an intruder attempting to break into her house. Fearing for her life and recognizing the offense as house-breaking by night, Sarah exercises her right of private defense. In the process, she takes actions that unintentionally result in harm to the intruder, falling within the circumstances outlined where the right of private defense is justified.",,,
103," the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:
                Robbery;
                House-breaking by night;
                Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;
                Theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised.","Kiran, a homeowner, confronted a group of armed intruders attempting a house-breaking by night. Fearing for his life and the safety of his family, Kiran resorted to the voluntary causing of harm to thwart the intrusion",,,
103," the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:
                Robbery;
                House-breaking by night;
                Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;
                Theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised.","Ramesh, while walking through a dimly lit alley, was suddenly accosted by Jayesh and Devang, who attempted to rob him at knifepoint. Faced with an immediate threat of robbery, Ramesh took decisive action to protect himself,",,,
103," the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:
                Robbery;
                House-breaking by night;
                Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or as a place for the custody of property;
                Theft, mischief, or house-trespass, under such circumstances as may reasonably cause apprehension that death or grievous hurt will be the consequence, if such right of private defence is not exercised.","Suresh, in a remote location, found himself surrounded by a group engaged in mischief by fire, threatening to set fire to a building where he and others were present. ",,,
104,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.","Alex, a homeowner, spots intruders attempting to vandalize his car parked in the driveway. Worried about the potential harm and damage, Alex confronts the vandals and uses a loud alarm to scare them away. In the process, one of the vandals falls and sustains minor injuries, illustrating the right of private defense of property extending to causing harm other than death.",,,
104,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.","Imagine Mary catching someone attempting to steal her bicycle in the backyard. In response, she decides to exercise her right of private defense to protect her property. However, as the offense is theft and not one of the specific offenses mentioned in the previous section, Mary's right does not extend to causing the thief's death. She may, however, use reasonable force to prevent the theft or cause harm other than death to the wrongdoer, within the limits specified by Section 99.",,,
104,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.",Jayesh caught Ramesh attempting to break into his neighbor Kiran's house. Realizing that Ramesh was engaged in criminal trespass with an intent to commit thet,,,
104,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.","In a remote farmhouse, Suresh observed Devang maliciously causing mischief by damaging agricultural equipment. Recognizing the act as criminal mischief",,,
104,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.","Kiran discovered Ramesh engaged in criminal trespass on his land, attempting to encroach upon it illegally",,,
